det(VALLEY-3, THE-1)
poss(finger-25, her-24)
dobj(fits-23, finger-25)
nsubj(picks-27, she-26)
conj(examines-10, picks-27)
dobj(picks-27, it-28)
cc(picks-27, and-29)
conj(picks-27, wears-30)
dobj(wears-30, it-31)
prep(wears-30, upon-32)
poss(hand-34, her-33)
pobj(upon-32, hand-34)

prep(procure-5, In-1)
det(way-3, this-2)
pobj(In-1, way-3)
nsubj(procure-5, they-4)
root(ROOT-0, procure-5)
dobj(procure-5, all-6)
nsubj(desire-8, they-7)
rcmod(all-6, desire-8)

expl(are-2, There-1)
root(ROOT-0, are-2)
num(rivers-4, two-3)
nsubj(are-2, rivers-4)
prep(rivers-4, in-5)
det(Land-7, the-6)
pobj(in-5, Land-7)
prep(Land-7, of-8)
pobj(of-8, Mo-9)
nsubj(flows-14, one-11)
prep(one-11, of-12)
pobj(of-12, which-13)
rcmod(Land-7, flows-14)
dobj(flows-14, milk-15)
prep(milk-15, of-16)
det(quality-20, a-17)
advmod(rich-19, very-18)
amod(quality-20, rich-19)
pobj(of-16, quality-20)

nsubjpass(made-9, Some-1)
prep(Some-1, of-2)
det(islands-4, the-3)
pobj(of-2, islands-4)
prep(islands-4, in-5)
nn(River-7, Milk-6)
pobj(in-5, River-7)
auxpass(made-9, are-8)
root(ROOT-0, made-9)
prep(made-9, of-10)
amod(cheese-12, excellent-11)
pobj(of-10, cheese-12)
cc(made-9, and-14)
det(people-16, the-15)
nsubj(welcome-18, people-16)
cop(welcome-18, are-17)
conj(made-9, welcome-18)
aux(spade-20, to-19)
xcomp(welcome-18, spade-20)
prt(spade-20, up-21)
det(cheese-23, this-22)
dobj(spade-20, cheese-23)
advmod(wish-26, whenever-24)
nsubj(wish-26, they-25)
rcmod(cheese-23, wish-26)
aux(eat-28, to-27)
xcomp(wish-26, eat-28)
dobj(eat-28, it-29)

prep(leaves-33, In-1)
det(pools-4, the-2)
amod(pools-4, little-3)
pobj(In-1, pools-4)
prep(pools-4, near-5)
det(bank-7, the-6)
pobj(near-5, bank-7)
advmod(flow-14, where-9)
det(current-11, the-10)
nsubj(flow-14, current-11)
aux(flow-14, does-12)
neg(flow-14, not-13)
advcl(leaves-33, flow-14)
advmod(flow-14, swiftly-15)
csubj(leaves-33, delicious-17)
nn(rises-19, cream-18)
dobj(delicious-17, rises-19)
prep(delicious-17, to-20)
det(top-22, the-21)
pobj(to-20, top-22)
prep(top-22, of-23)
det(milk-25, the-24)
pobj(of-23, milk-25)
cc(to-20, and-27)
conj(to-20, instead-28)
dep(to-20, of-29)
amod(strawberry-32, water-lilies-30)
amod(strawberry-32, great-31)
pobj(of-29, strawberry-32)
root(ROOT-0, leaves-33)
xcomp(leaves-33, grow-34)
prep(grow-34, upon-35)
det(surface-37, the-36)
pobj(upon-35, surface-37)
cc(leaves-33, and-39)
det(berries-44, the-40)
amod(red-43, ripe-41)
amod(berries-44, red-43)
nsubj(lie-45, berries-44)
conj(leaves-33, lie-45)
ccomp(lie-45, dipping-46)
poss(noses-48, their-47)
dobj(dipping-46, noses-48)
prep(dipping-46, into-49)
det(cream-51, the-50)
pobj(into-49, cream-51)
cc(dipping-46, as-53)
dep(as-53, if-54)
conj(dipping-46, inviting-55)
dobj(inviting-55, you-56)
aux(come-58, to-57)
xcomp(inviting-55, come-58)
cc(come-58, and-59)
conj(come-58, eat-60)
dobj(come-58, them-61)

det(sand-2, The-1)
nsubj(sugar-11, sand-2)
nsubj(forms-4, that-3)
rcmod(sand-2, forms-4)
det(bank-7, the-5)
nn(bank-7, river-6)
dobj(forms-4, bank-7)
cop(sugar-11, is-8)
amod(sugar-11, pure-9)
amod(sugar-11, white-10)
root(ROOT-0, sugar-11)
cc(sugar-11, and-13)
det(kinds-15, all-14)
nsubj(grow-20, kinds-15)
prep(kinds-15, of-16)
pobj(of-16, candies-17)
cc(candies-17, and-18)
conj(candies-17, bonbons-19)
conj(sugar-11, grow-20)
acomp(grow-20, thick-21)
prep(thick-21, on-22)
det(bushes-25, the-23)
amod(bushes-25, low-24)
pobj(on-22, bushes-25)
advmod(pluck-32, so-27)
mark(pluck-32, that-28)
det(one-30, any-29)
nsubj(pluck-32, one-30)
aux(pluck-32, may-31)
advcl(grow-20, pluck-32)
dobj(pluck-32, them-33)
advmod(pluck-32, easily-34)

nsubj(few-5, These-1)
cop(few-5, are-2)
quantmod(few-5, only-3)
quantmod(few-5, a-4)
root(ROOT-0, few-5)
prep(few-5, of-6)
det(things-9, the-7)
amod(things-9, remarkable-8)
pobj(of-6, things-9)
nsubj(exist-11, that-10)
rcmod(things-9, exist-11)
prep(exist-11, in-12)
det(Valley-15, the-13)
nn(Valley-15, Beautiful-14)
pobj(in-12, Valley-15)

det(people-2, The-1)
nsubj(folk-7, people-2)
cop(folk-7, are-3)
amod(folk-7, merry-4)
amod(folk-7, light-hearted-6)
root(ROOT-0, folk-7)
nsubj(live-10, who-9)
rcmod(folk-7, live-10)
prep(live-10, in-11)
amod(houses-13, beautiful-12)
pobj(in-11, houses-13)
prep(houses-13, of-14)
amod(crystal-16, pure-15)
pobj(of-14, crystal-16)
advmod(rest-21, where-18)
nsubj(rest-21, they-19)
aux(rest-21, can-20)
advcl(live-10, rest-21)
dobj(rest-21, themselves-22)
cc(rest-21, and-23)
conj(rest-21, play-24)
poss(games-26, their-25)
dobj(play-24, games-26)
cc(play-24, and-27)
conj(play-24, go-28)
prep(go-28, in-29)
advmod(rains-32, when-30)
nsubj(rains-32, it-31)
pcomp(in-29, rains-32)

dep(rains-3, For-1)
nsubj(rains-3, it-2)
root(ROOT-0, rains-3)
prep(rains-3, in-4)
pobj(in-4, Mo-5)
mark(does-8, as-6)
nsubj(does-8, it-7)
advcl(rains-3, does-8)
advmod(else-10, everywhere-9)
dobj(does-8, else-10)
advmod(rains-3, only-12)
dep(lemonade-15, it-13)
advmod(lemonade-15, rains-14)
dep(rains-3, lemonade-15)
cc(rains-3, and-17)
det(lightning-19, the-18)
nsubj(resembles-23, lightning-19)
prep(lightning-19, in-20)
det(sky-22, the-21)
pobj(in-20, sky-22)
conj(rains-3, resembles-23)
det(fireworks-27, the-24)
advmod(beautiful-26, most-25)
amod(fireworks-27, beautiful-26)
xcomp(resembles-23, fireworks-27)
cc(rains-3, and-29)
det(thunder-31, the-30)
nsubj(chorus-35, thunder-31)
cop(chorus-35, is-32)
advmod(chorus-35, usually-33)
det(chorus-35, a-34)
conj(rains-3, chorus-35)
prep(chorus-35, from-36)
det(opera-38, the-37)
pobj(from-36, opera-38)
prep(opera-38, of-39)
pobj(of-39, Tannhauser-40)

neg(one-2, No-1)
nsubj(dies-4, one-2)
advmod(dies-4, ever-3)
root(ROOT-0, dies-4)
prep(dies-4, in-5)
det(Valley-7, this-6)
pobj(in-5, Valley-7)
cc(dies-4, and-9)
det(people-11, the-10)
nsubj(young-14, people-11)
cop(young-14, are-12)
advmod(young-14, always-13)
conj(dies-4, young-14)
cc(young-14, and-15)
conj(young-14, beautiful-16)

expl(is-2, There-1)
root(ROOT-0, is-2)
det(King-4, the-3)
nsubj(is-2, King-4)
cc(King-4, and-5)
det(Queen-7, a-6)
conj(King-4, Queen-7)
prep(King-4, besides-9)
amod(princes-11, several-10)
pobj(besides-9, princes-11)
cc(princes-11, and-12)
conj(princes-11, princesses-13)

cc(use-6, But-1)
nsubj(use-6, it-2)
cop(use-6, is-3)
neg(use-6, not-4)
advmod(use-6, much-5)
root(ROOT-0, use-6)
cop(prince-9, being-7)
det(prince-9, a-8)
dep(use-6, prince-9)
prep(prince-9, in-10)
pobj(in-10, Mo-11)
mark(die-18, because-13)
det(King-15, the-14)
nsubj(die-18, King-15)
aux(die-18, can-16)
neg(die-18, not-17)
advcl(use-6, die-18)
advmod(prince-25, therefore-20)
det(prince-22, a-21)
nsubj(prince-25, prince-22)
cop(prince-25, is-23)
det(prince-25, a-24)
dep(use-6, prince-25)
prep(prince-25, to-26)
det(end-28, the-27)
pobj(to-26, end-28)
prep(end-28, of-29)
poss(days-31, his-30)
pobj(of-29, days-31)
cc(use-6, and-33)
poss(days-35, his-34)
nsubj(end-37, days-35)
neg(end-37, never-36)
conj(use-6, end-37)

amod(things-2, Strange-1)
nsubj(occur-3, things-2)
root(ROOT-0, occur-3)
prep(occur-3, in-4)
det(land-7, this-5)
amod(land-7, strange-6)
pobj(in-4, land-7)
mark(imagine-12, as-9)
nsubj(imagine-12, you-10)
aux(imagine-12, may-11)
advcl(occur-3, imagine-12)
cc(imagine-12, and-14)
mark(relate-17, while-15)
nsubj(relate-17, I-16)
conj(imagine-12, relate-17)
dobj(relate-17, some-18)
prep(some-18, of-19)
pobj(of-19, these-20)
nsubj(learn-23, you-21)
aux(learn-23, will-22)
rcmod(these-20, learn-23)
dobj(learn-23, more-24)
prep(more-24, of-25)
det(features-28, the-26)
amod(features-28, peculiar-27)
pobj(of-25, features-28)
prep(features-28, of-29)
det(Valley-32, the-30)
nn(Valley-32, Beautiful-31)
pobj(of-29, Valley-32)

vmod(became-25, _-1)
det(_-5, The-2)
nn(_-5, Second-3)
nn(_-5, Surprise-4)
nsubj(ADVENTURES-8, _-5)
det(ADVENTURES-8, THE-6)
nn(ADVENTURES-8, STRANGE-7)
xcomp(_-1, ADVENTURES-8)
prep(ADVENTURES-8, OF-9)
det(KING-11, THE-10)
poss(HEAD-13, KING-11)
possessive(KING-11, 'S-12)
pobj(OF-9, HEAD-13)
det(years-17, A-14)
amod(years-17, good-15)
amod(years-17, many-16)
tmod(_-1, years-17)
advmod(years-17, ago-18)
det(Monarch-22, the-20)
nn(Monarch-22, Magical-21)
nsubj(became-25, Monarch-22)
prep(Monarch-22, of-23)
pobj(of-23, Mo-24)
root(ROOT-0, became-25)
acomp(became-25, annoyed-26)
prep(annoyed-26, by-27)
det(Dragon-30, the-28)
nn(Dragon-30, Purple-29)
pobj(by-27, Dragon-30)
nsubj(came-33, which-32)
rcmod(Dragon-30, came-33)
prt(came-33, down-34)
prep(came-33, from-35)
det(mountains-37, the-36)
pobj(from-35, mountains-37)
cc(came-33, and-38)
conj(came-33, ate-39)
prt(ate-39, up-40)
det(patch-42, a-41)
dobj(ate-39, patch-42)
prep(patch-42, of-43)
poss(caramels-47, his-44)
amod(caramels-47, best-45)
nn(caramels-47, chocolate-46)
pobj(of-43, caramels-47)
advmod(ripe-53, just-48)
mark(ripe-53, as-49)
nsubj(ripe-53, they-50)
aux(ripe-53, were-51)
dep(ripe-53, getting-52)
advcl(became-25, ripe-53)

dep(went-4, So-1)
det(King-3, the-2)
nsubj(went-4, King-3)
root(ROOT-0, went-4)
prt(went-4, out-5)
prep(went-4, to-6)
det(sword-tree-8, the-7)
pobj(to-6, sword-tree-8)
cc(went-4, and-9)
conj(went-4, picked-10)
det(sword-15, a-11)
amod(sword-15, long-12)
amod(sword-15, sharp-14)
dobj(picked-10, sword-15)
cc(went-4, and-17)
conj(went-4, tied-18)
dobj(tied-18, it-19)
prep(tied-18, to-20)
poss(belt-22, his-21)
pobj(to-20, belt-22)
cc(went-4, and-23)
conj(went-4, went-24)
prt(went-24, away-25)
prep(went-24, to-26)
det(mountains-28, the-27)
pobj(to-26, mountains-28)
aux(fight-30, to-29)
xcomp(went-24, fight-30)
det(Dragon-33, the-31)
nn(Dragon-33, Purple-32)
dobj(fight-30, Dragon-33)

